study_id,pub_year,start_year,end_year,study_length,country,site,flyway,flyway_code,annual_cycle,impact_coarse,impact_fine
Galbraith et al. 2002,2002,1990,2100,110,United States,"Willapa Bay, Humboldt Bay, San Francisco Bay",Pacific Americas,PA.AM,Migration,Habitat,Habitat extent
Galbraith et al. 2002,2002,1990,2100,110,United States,"Willapa Bay, Humboldt Bay, San Francisco Bay",Pacific Americas,PA.AM,Non-breeding,Habitat,Habitat extent
Galbraith et al. 2002,2002,1990,2100,110,United States,Delaware Bay,Atlantic Americas,ATL.AM,Migration,Habitat,Habitat extent
Galbraith et al. 2002,2002,1990,2100,110,United States,Delaware Bay,Atlantic Americas,ATL.AM,Non-breeding,Habitat,Habitat extent
Galbraith et al. 2002,2002,1990,2100,110,United States,Bolivar Flats,Mississippi Americas,MISS.AM,Migration,Habitat,Habitat extent
Galbraith et al. 2002,2002,1990,2100,110,United States,Bolivar Flats,Mississippi Americas,MISS.AM,Non-breeding,Habitat,Habitat extent
Austin and Rehfisch 2003,2003,1998,2055,57,United Kingdom,Deben and Duddon estuaries,East Atlantic,E.ATL,Non-breeding,Bird,Site-level abundance
Austin and Rehfisch 2003,2003,1998,2055,57,United Kingdom,Deben and Duddon estuaries,East Atlantic,E.ATL,Non-breeding,Bird,Site-level density
Stillman et al. 2005,2005,,,,United Kingdom,Humber estuary,East Atlantic,E.ATL,Non-breeding,Bird,Overwinter survival
Durell et al. 2006,2006,,,,United Kingdom,Poole Harbour,East Atlantic,E.ATL,Non-breeding,Bird,Overwinter survival
Fujii 2006,2006,,,,United Kingdom,Humber estuary,East Atlantic,E.ATL,Non-breeding,Habitat,Habitat extent
Fujii 2006,2006,,,,United Kingdom,Humber estuary,East Atlantic,E.ATL,Non-breeding,Habitat,Prey biomass
Fujii 2006,2006,,,,United Kingdom,Humber estuary,East Atlantic,E.ATL,Non-breeding,Bird,Site-level abundance
Durell et al. 2007,2007,,,,United Kingdom,Exe estuary,East Atlantic,E.ATL,Non-breeding,Bird,Overwinter survival
Aiello-Lammens et al. 2011,2011,2010,2100,90,United States,Florida Gulf Coast,Atlantic Americas,ATL.AM,Breeding,Habitat,Habitat extent
Aiello-Lammens et al. 2011,2011,2010,2100,90,United States,Florida Gulf Coast,Atlantic Americas,ATL.AM,Breeding,Habitat,Carrying capacity
Aiello-Lammens et al. 2011,2011,2010,2100,90,United States,Florida Gulf Coast,Atlantic Americas,ATL.AM,Breeding,Bird,Extinction risk
Aiello-Lammens et al. 2011,2011,2010,2100,90,United States,Florida Gulf Coast,Atlantic Americas,ATL.AM,Breeding,Bird,Risk of decline to 20 individuals
Aiello-Lammens et al. 2011,2011,2010,2100,90,United States,Florida Gulf Coast,Atlantic Americas,ATL.AM,Breeding,Bird,Expected minimum abundance
Chu-Agor et al. 2011,2011,2001,2100,99,United States,"Elgin Air Force Base, Florida",Atlantic Americas,ATL.AM,Breeding,Habitat,Habitat extent
Convertino et al. 2011,2011,2010,2100,90,United States,"Elgin Air Force Base, Tyndall Air Force Base, Florida Gulf Coast",Atlantic Americas,ATL.AM,Breeding,Habitat,Habitat extent
